open_time,open,high,low,close,volume
2026-02-03 19:00:00,0.1025,0.10698,0.10226,0.10642,126152566.0
2026-02-03 20:00:00,0.10641,0.11053,0.10523,0.10923,165630232.0
2026-02-03 21:00:00,0.10924,0.10972,0.10743,0.1077,69629003.0
2026-02-03 22:00:00,0.1077,0.10777,0.10588,0.10631,37851661.0
2026-02-03 23:00:00,0.10631,0.10639,0.10542,0.10602,31614391.0
2026-02-04 00:00:00,0.10602,0.10696,0.10553,0.10651,22045134.0
2026-02-04 01:00:00,0.10652,0.10814,0.10652,0.10783,43442654.0
2026-02-04 02:00:00,0.10782,0.10787,0.1067,0.10717,29320182.0
2026-02-04 03:00:00,0.10717,0.10947,0.10704,0.10892,45395914.0
2026-02-04 04:00:00,0.10892,0.10917,0.10832,0.10841,18948587.0
2026-02-04 05:00:00,0.10842,0.10864,0.10733,0.10773,23026702.0
2026-02-04 06:00:00,0.10772,0.10882,0.10759,0.10848,79153736.0
2026-02-04 07:00:00,0.10848,0.1089,0.10792,0.10846,28857133.0
2026-02-04 08:00:00,0.10847,0.10872,0.10781,0.10854,13365783.0
2026-02-04 09:00:00,0.10854,0.10854,0.1075,0.10783,19572253.0
2026-02-04 10:00:00,0.10784,0.10816,0.10756,0.10773,20308856.0
2026-02-04 11:00:00,0.10774,0.10779,0.10637,0.10731,55432155.0
2026-02-04 12:00:00,0.10731,0.10779,0.10714,0.10739,30608483.0
2026-02-04 13:00:00,0.10738,0.10753,0.1057,0.10577,55592709.0
2026-02-04 14:00:00,0.10576,0.10658,0.10398,0.10415,107409094.0
2026-02-04 15:00:00,0.10416,0.10532,0.10276,0.10342,116533822.0
2026-02-04 16:00:00,0.10343,0.10431,0.10196,0.10323,141821853.0
2026-02-04 17:00:00,0.10323,0.10386,0.10142,0.1029,97087327.0
2026-02-04 18:00:00,0.1029,0.10483,0.10153,0.10363,119522792.0
2026-02-04 19:00:00,0.10364,0.10556,0.10341,0.10535,60724567.0
2026-02-04 20:00:00,0.10535,0.10549,0.10438,0.10453,21303614.0
2026-02-04 21:00:00,0.10452,0.10483,0.10231,0.10308,45859185.0
2026-02-04 22:00:00,0.10309,0.1048,0.10127,0.10285,73297251.0
2026-02-04 23:00:00,0.10284,0.10472,0.10252,0.10383,54251705.0
2026-02-05 00:00:00,0.10383,0.10409,0.10314,0.10358,24671186.0
2026-02-05 01:00:00,0.10358,0.10477,0.10254,0.1036,58371132.0
2026-02-05 02:00:00,0.10361,0.10438,0.10226,0.10251,113783550.0
2026-02-05 03:00:00,0.1025,0.10367,0.10221,0.1026,54558901.0
2026-02-05 04:00:00,0.1026,0.10321,0.1016,0.10225,75369745.0
2026-02-05 05:00:00,0.10226,0.10361,0.10092,0.10234,123020500.0
