open_time,open,high,low,close,volume
2026-02-03 19:00:00,268.19,281.68,266.21,279.08,25437.397
2026-02-03 20:00:00,279.0,289.63,275.9,284.98,18566.622
2026-02-03 21:00:00,284.99,288.33,280.74,281.55,10297.766
2026-02-03 22:00:00,281.6,281.79,275.16,275.96,7357.876
2026-02-03 23:00:00,275.94,275.94,269.89,270.7,9165.16
2026-02-04 00:00:00,270.71,277.36,270.49,275.64,4502.279
2026-02-04 01:00:00,275.62,281.98,275.62,278.27,6693.866
2026-02-04 02:00:00,278.24,279.46,273.79,275.08,3987.843
2026-02-04 03:00:00,275.08,282.17,274.35,280.44,5269.332
2026-02-04 04:00:00,280.44,281.0,277.92,279.66,3762.948
2026-02-04 05:00:00,279.68,280.99,276.45,277.29,2443.321
2026-02-04 06:00:00,277.24,282.15,276.69,280.36,4956.039
2026-02-04 07:00:00,280.37,282.1,279.01,279.46,5570.144
2026-02-04 08:00:00,279.46,283.18,278.18,281.4,8699.805
2026-02-04 09:00:00,281.36,283.11,278.5,279.95,13307.317
2026-02-04 10:00:00,279.95,280.85,279.1,279.97,2382.402
2026-02-04 11:00:00,279.98,281.41,275.69,278.52,12288.591
2026-02-04 12:00:00,278.51,280.27,277.89,279.81,6597.116
2026-02-04 13:00:00,279.84,280.2,272.51,273.26,8504.203
2026-02-04 14:00:00,273.14,276.44,269.48,271.45,13973.967
2026-02-04 15:00:00,271.47,275.29,263.5,266.14,26405.679
2026-02-04 16:00:00,266.25,268.41,263.62,266.34,16217.547
2026-02-04 17:00:00,266.29,267.66,257.6,261.81,34694.718
2026-02-04 18:00:00,261.8,266.87,258.2,263.89,20362.763
2026-02-04 19:00:00,263.91,270.22,261.8,269.68,16646.558
2026-02-04 20:00:00,269.66,270.0,261.02,261.91,30624.061
2026-02-04 21:00:00,261.89,263.38,256.16,257.4,13647.67
2026-02-04 22:00:00,257.37,262.02,253.24,254.24,23272.742
2026-02-04 23:00:00,254.21,256.03,251.29,251.84,15215.601
2026-02-05 00:00:00,251.78,256.09,250.65,251.08,10807.753
2026-02-05 01:00:00,251.08,254.11,246.24,250.94,22668.726
2026-02-05 02:00:00,250.93,254.24,246.23,247.13,17941.696
2026-02-05 03:00:00,247.13,248.68,242.93,244.08,21192.927
2026-02-05 04:00:00,244.04,247.11,241.91,242.84,17457.42
2026-02-05 05:00:00,242.8,245.22,237.17,242.66,20611.458
2026-02-05 06:00:00,242.66,245.84,239.7,245.18,18204.672
2026-02-05 07:00:00,245.18,248.73,244.77,245.7,10202.162
2026-02-05 08:00:00,245.82,250.68,245.17,247.21,6673.009
2026-02-05 09:00:00,247.29,251.43,245.84,246.93,9150.215
2026-02-05 10:00:00,246.93,246.96,241.54,242.04,13305.242
2026-02-05 11:00:00,242.05,243.89,237.2,239.81,23026.744
2026-02-05 12:00:00,239.83,241.03,228.32,229.8,34822.134
2026-02-05 13:00:00,229.84,230.24,216.29,217.22,45962.82
2026-02-05 14:00:00,217.31,231.26,217.08,225.33,47002.204
2026-02-05 15:00:00,225.31,234.56,219.28,227.8,72582.491
2026-02-05 16:00:00,227.85,233.37,219.44,224.55,43209.247
2026-02-05 17:00:00,224.58,225.76,217.71,219.66,30993.897
2026-02-05 18:00:00,219.64,220.9,211.61,217.98,28122.251
2026-02-05 19:00:00,217.97,218.52,209.03,210.92,19801.905
