symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
SENTUSDT,0.13798420340955314,0.12290172385372065,0.1960916027081888,0.4393939393939394,1.3250042235555126,66,1379.8420340955315
STOUSDT,0.12797105036436418,0.09622388491206231,0.1586590300531741,0.43548387096774194,1.3035231328699122,62,1279.7105036436417
ZAMAUSDT,0.1257157493857663,0.08783608657703579,0.25060500745699915,0.47368421052631576,1.371118031469684,57,1257.157493857663
JSTUSDT,0.10213498989204456,0.07958584819921395,0.25466204551131405,0.47368421052631576,1.4344833713136427,57,1021.3498989204456
ALLOUSDT,0.07647797718393201,0.09875474791424006,0.12209518346699459,0.4153846153846154,1.2005452796345408,65,764.7797718393201
ENJUSDT,0.07351417607458914,0.11514906121102726,0.12383850307253229,0.5263157894736842,1.2831276504078148,57,735.1417607458915
ASTERUSDT,0.07258332005402805,0.06626713201319914,0.24881059585774995,0.4722222222222222,1.6970830232407212,36,725.8332005402806
GUNUSDT,0.0645630175358711,0.21702114194352812,0.07389811840639984,0.4794520547945205,1.1343526009003264,73,645.630175358711
CFGUSDT,0.05497866597896991,0.054347785193826575,0.26032072516774896,0.43333333333333335,1.3304605490321906,30,549.7866597896991
UMAUSDT,0.054136194207756526,0.09402700309126481,0.07577735948205815,0.3283582089552239,1.1933866179544868,67,541.3619420775652
DEXEUSDT,0.05169372851880054,0.10674497218329197,0.09389275391945365,0.4897959183673469,1.2367499472603605,49,516.9372851880054
WLFIUSDT,0.03924248264854142,0.04449072415549015,0.06902371773768265,0.40816326530612246,1.204276610778621,49,392.4248264854142
EULUSDT,0.02018939817039332,0.1976348286228471,0.01716967292282514,0.3709677419354839,1.0597062690104748,62,201.89398170393318
币安人生USDT,0.018847388168398982,0.1604957337136088,0.031935713640092955,0.45,1.0543440147644068,40,188.47388168398982
PROMUSDT,0.016507199896190514,0.1791722803174568,-0.011409394244708231,0.4576271186440678,1.0513116164619285,59,165.07199896190514
TONUSDT,0.013335289291811523,0.04225078613998287,-0.027883613725661432,0.37777777777777777,1.0960522273488327,45,133.35289291811523
AVAXUSDT,0.010453846858936364,0.06820351602010898,-0.046400586249355495,0.4528301886792453,1.0587359100138216,53,104.53846858936365
TAOUSDT,0.010310075421561473,0.07622950002797078,-0.02305256944877087,0.4807692307692308,1.0465861766302664,52,103.10075421561474
RUNEUSDT,0.007029716589768516,0.09426110186910937,-0.06669606281270174,0.4,1.0450699929560963,55,70.29716589768516
XAUTUSDT,0.00631142796571444,0.01984861206114043,-0.0015680099035288036,0.3076923076923077,1.3532587267777194,13,63.1142796571444
DOGEUSDT,0.00013122525418941748,0.06732531079339314,-0.08243216418562532,0.3695652173913043,1.0007769870874954,46,1.3122525418941748
ZENUSDT,-0.00032943007279994275,0.1079143039022443,-0.09107093537707314,0.46296296296296297,0.9984458278079917,54,-3.2943007279994276
ARBUSDT,-0.0026555943892294094,0.09993482565087382,-0.0902802630981716,0.4423076923076923,0.986250540286483,52,-26.555943892294096
HBARUSDT,-0.010120475837484936,0.10300179355364657,-0.1556322059857638,0.3484848484848485,0.9510772289283186,66,-101.20475837484936
LINKUSDT,-0.01077517503964301,0.08607974326118911,-0.11803550851321354,0.44680851063829785,0.9459364785676082,47,-107.75175039643011
XPLUSDT,-0.013169938067364682,0.12105448182134486,-0.08954977234909083,0.3508771929824561,0.960304242699948,57,-131.69938067364683
SHIBUSDT,-0.014200609303846473,0.06956489235884045,-0.13875030600713434,0.4230769230769231,0.9195047815283802,52,-142.00609303846474
HIGHUSDT,-0.01923476332269089,0.19922659249393737,-0.06677540285798923,0.33783783783783783,0.9384692750336857,74,-192.3476332269089
FETUSDT,-0.02027756471092565,0.12334106928381128,-0.13605576248228593,0.4666666666666667,0.9284616932657572,60,-202.77564710925648
PAXGUSDT,-0.023704810550188377,0.05924985890648103,-0.2342805150525905,0.26666666666666666,0.7992403125037658,30,-237.04810550188378
LDOUSDT,-0.026183206988768797,0.08872218411378316,-0.1746556419132861,0.3888888888888889,0.8850636616789442,54,-261.83206988768796
BIOUSDT,-0.0313944730547043,0.2503838031841697,-0.1174049844719941,0.3968253968253968,0.9183245071339097,63,-313.94473054704304
ETHUSDT,-0.035265141051283096,0.06871419054188946,-0.21179631578563385,0.3684210526315789,0.7851347336363865,38,-352.651410512831
EURUSDT,-0.03857519209641238,0.0721179641906216,-1.476973141742942,0.17647058823529413,0.35890066619482486,51,-385.75192096412377
USD1USDT,-0.04020346115217029,0.06058400921645043,-3.0921123381127664,0.0,0.0,42,-402.0346115217029
WLDUSDT,-0.04276874821488696,0.08411184756977112,-0.23722257838302327,0.48,0.8202398543591286,50,-427.68748214886955
ENAUSDT,-0.04467287319260789,0.1247038947978654,-0.20370590978393271,0.421875,0.8724638010292649,64,-446.7287319260789
WBTCUSDT,-0.046053043393870306,0.12726671984438734,-0.37480963789477384,0.3695652173913043,0.7127472641273891,46,-460.5304339387031
DASHUSDT,-0.04714227462835173,0.13280812056558716,-0.18611468798268546,0.4032258064516129,0.8660556217361792,62,-471.4227462835173
SUIUSDT,-0.0472623298542327,0.10469330918738132,-0.27590328976999606,0.36538461538461536,0.7684363902739547,52,-472.623298542327
NEIROUSDT,-0.0477548836185532,0.10538290958928037,-0.17756695129870673,0.38181818181818183,0.8404463997567612,55,-477.548836185532
UNIUSDT,-0.04928275463470257,0.08462836762704143,-0.23104449113694198,0.4791666666666667,0.777272644786596,48,-492.8275463470257
FILUSDT,-0.0493207125471721,0.08807643278390567,-0.2334100588671641,0.2916666666666667,0.8151364328582381,48,-493.207125471721
RLUSDUSDT,-0.053348760288971245,0.08072041904524703,-3.7036968972216893,0.0,0.0,57,-533.4876028897124
UUSDT,-0.054428690382700276,0.08117830726822904,-3.672608974546173,0.0,0.0,57,-544.2869038270028
BONKUSDT,-0.05598909094954691,0.127208527666932,-0.24533078141174747,0.37735849056603776,0.7865851303950403,53,-559.8909094954691
MOVRUSDT,-0.05647553623052665,0.15201711332417578,-0.202148456225724,0.4507042253521127,0.8518553411818555,71,-564.7553623052665
ORDIUSDT,-0.05687206711411869,0.20029577897612175,-0.14177300688286387,0.37735849056603776,0.8414882527672881,53,-568.7206711411869
