symbol,timeframe,factor,forward_period,ic,ic_std,ir,abs_ic
BTCUSDT,5min,volume_ratio,12,-0.0012974424410650838,,0.0,0.0012974424410650838
BTCUSDT,5min,volume_ratio,24,0.0005378399978482044,,0.0,0.0005378399978482044
BTCUSDT,5min,volume_ratio,48,0.0016519483605940202,,0.0,0.0016519483605940202
BTCUSDT,5min,volume_ma_ratio,12,0.00132595820108451,,0.0,0.00132595820108451
BTCUSDT,5min,volume_ma_ratio,24,-0.0011060557842218195,,0.0,0.0011060557842218195
BTCUSDT,5min,volume_ma_ratio,48,-0.0022210135279167914,,0.0,0.0022210135279167914
BTCUSDT,5min,price_momentum,12,0.015696221158534862,,0.0,0.015696221158534862
BTCUSDT,5min,price_momentum,24,0.02781890207432152,,0.0,0.02781890207432152
BTCUSDT,5min,price_momentum,48,0.016999719700599897,,0.0,0.016999719700599897
BTCUSDT,5min,volatility,12,0.01984166386034935,,0.0,0.01984166386034935
BTCUSDT,5min,volatility,24,0.0177085648629574,,0.0,0.0177085648629574
BTCUSDT,5min,volatility,48,0.01547001666032657,,0.0,0.01547001666032657
BTCUSDT,5min,atr_ratio,12,0.008275295190241725,,0.0,0.008275295190241725
BTCUSDT,5min,atr_ratio,24,0.011403400321587806,,0.0,0.011403400321587806
BTCUSDT,5min,atr_ratio,48,0.011131680076366965,,0.0,0.011131680076366965
BTCUSDT,5min,rsi,12,0.001277150324445694,,0.0,0.001277150324445694
BTCUSDT,5min,rsi,24,0.019277004586669984,,0.0,0.019277004586669984
BTCUSDT,5min,rsi,48,0.013985253754530629,,0.0,0.013985253754530629
BTCUSDT,5min,kdj_j,12,-0.01190699598329592,,0.0,0.01190699598329592
BTCUSDT,5min,kdj_j,24,0.004908284263995168,,0.0,0.004908284263995168
BTCUSDT,5min,kdj_j,48,0.008485460705581076,,0.0,0.008485460705581076
BTCUSDT,5min,bollinger_position,12,-0.0040193225633614075,,0.0,0.0040193225633614075
BTCUSDT,5min,bollinger_position,24,0.014905924831980033,,0.0,0.014905924831980033
BTCUSDT,5min,bollinger_position,48,0.01375625209085063,,0.0,0.01375625209085063
BTCUSDT,5min,obv_slope,12,-0.006474086785252653,,0.0,0.006474086785252653
BTCUSDT,5min,obv_slope,24,-0.005974687653937197,,0.0,0.005974687653937197
BTCUSDT,5min,obv_slope,48,-0.009422085866729499,,0.0,0.009422085866729499
BTCUSDT,15min,volume_ratio,4,0.01007674754002763,,0.0,0.01007674754002763
BTCUSDT,15min,volume_ratio,8,0.0006575030904980046,,0.0,0.0006575030904980046
BTCUSDT,15min,volume_ratio,16,-0.001273103093581683,,0.0,0.001273103093581683
BTCUSDT,15min,volume_ma_ratio,4,0.020287122385682498,,0.0,0.020287122385682498
BTCUSDT,15min,volume_ma_ratio,8,0.016369927439358563,,0.0,0.016369927439358563
BTCUSDT,15min,volume_ma_ratio,16,0.003597925106806978,,0.0,0.003597925106806978
BTCUSDT,15min,price_momentum,4,-0.008872605711187075,,0.0,0.008872605711187075
BTCUSDT,15min,price_momentum,8,-0.0006885007112080735,,0.0,0.0006885007112080735
BTCUSDT,15min,price_momentum,16,0.019841647471059275,,0.0,0.019841647471059275
BTCUSDT,15min,volatility,4,0.0045696991040272755,,0.0,0.0045696991040272755
BTCUSDT,15min,volatility,8,0.01333702635178127,,0.0,0.01333702635178127
BTCUSDT,15min,volatility,16,0.016088927005475095,,0.0,0.016088927005475095
BTCUSDT,15min,atr_ratio,4,0.008921034400630563,,0.0,0.008921034400630563
BTCUSDT,15min,atr_ratio,8,0.01762955097394611,,0.0,0.01762955097394611
BTCUSDT,15min,atr_ratio,16,0.03746601944951868,,0.0,0.03746601944951868
BTCUSDT,15min,rsi,4,-0.015145066783382023,,0.0,0.015145066783382023
BTCUSDT,15min,rsi,8,-0.008973095628049129,,0.0,0.008973095628049129
BTCUSDT,15min,rsi,16,0.005329453949160939,,0.0,0.005329453949160939
BTCUSDT,15min,kdj_j,4,-0.018362353022647635,,0.0,0.018362353022647635
BTCUSDT,15min,kdj_j,8,-0.0110277421808215,,0.0,0.0110277421808215
BTCUSDT,15min,kdj_j,16,-0.010485718132701882,,0.0,0.010485718132701882
BTCUSDT,15min,bollinger_position,4,-0.018310738844424863,,0.0,0.018310738844424863
BTCUSDT,15min,bollinger_position,8,-0.018627364487356943,,0.0,0.018627364487356943
BTCUSDT,15min,bollinger_position,16,0.0023496285699037963,,0.0,0.0023496285699037963
BTCUSDT,15min,obv_slope,4,0.008291132473606503,,0.0,0.008291132473606503
BTCUSDT,15min,obv_slope,8,0.0030970085092153782,,0.0,0.0030970085092153782
BTCUSDT,15min,obv_slope,16,-0.004353924806209439,,0.0,0.004353924806209439
BTCUSDT,30min,volume_ratio,2,-0.006377930272420232,,0.0,0.006377930272420232
BTCUSDT,30min,volume_ratio,4,-0.012231937075440392,,0.0,0.012231937075440392
BTCUSDT,30min,volume_ratio,8,0.004070049144135238,,0.0,0.004070049144135238
BTCUSDT,30min,volume_ma_ratio,2,-0.0025211730764393273,,0.0,0.0025211730764393273
BTCUSDT,30min,volume_ma_ratio,4,0.004680556330954125,,0.0,0.004680556330954125
BTCUSDT,30min,volume_ma_ratio,8,0.019994527389967123,,0.0,0.019994527389967123
BTCUSDT,30min,price_momentum,2,0.007473739031092807,,0.0,0.007473739031092807
BTCUSDT,30min,price_momentum,4,0.020938792216325337,,0.0,0.020938792216325337
BTCUSDT,30min,price_momentum,8,0.02755445958715819,,0.0,0.02755445958715819
BTCUSDT,30min,volatility,2,0.01403156330920256,,0.0,0.01403156330920256
BTCUSDT,30min,volatility,4,0.02667220486199339,,0.0,0.02667220486199339
BTCUSDT,30min,volatility,8,0.03890325066829369,,0.0,0.03890325066829369
BTCUSDT,30min,atr_ratio,2,-0.011340880084515967,,0.0,0.011340880084515967
BTCUSDT,30min,atr_ratio,4,-0.011219374812809331,,0.0,0.011219374812809331
BTCUSDT,30min,atr_ratio,8,-0.01017927524439407,,0.0,0.01017927524439407
BTCUSDT,30min,rsi,2,0.013379255818706078,,0.0,0.013379255818706078
BTCUSDT,30min,rsi,4,0.025719270840176743,,0.0,0.025719270840176743
BTCUSDT,30min,rsi,8,0.03717784300038098,,0.0,0.03717784300038098
BTCUSDT,30min,kdj_j,2,0.008791085246711877,,0.0,0.008791085246711877
BTCUSDT,30min,kdj_j,4,0.023309739008580372,,0.0,0.023309739008580372
BTCUSDT,30min,kdj_j,8,0.04162713161865257,,0.0,0.04162713161865257
BTCUSDT,30min,bollinger_position,2,0.015005732376712528,,0.0,0.015005732376712528
BTCUSDT,30min,bollinger_position,4,0.028186470015050032,,0.0,0.028186470015050032
BTCUSDT,30min,bollinger_position,8,0.03566729434642287,,0.0,0.03566729434642287
BTCUSDT,30min,obv_slope,2,0.0055284283947907185,,0.0,0.0055284283947907185
BTCUSDT,30min,obv_slope,4,0.01860476605311396,,0.0,0.01860476605311396
BTCUSDT,30min,obv_slope,8,0.026862558216937046,,0.0,0.026862558216937046
BTCUSDT,1h,volume_ratio,1,0.0041725405605514765,,0.0,0.0041725405605514765
BTCUSDT,1h,volume_ratio,4,0.008264626317572344,,0.0,0.008264626317572344
BTCUSDT,1h,volume_ratio,24,0.00025218129452168496,,0.0,0.00025218129452168496
BTCUSDT,1h,volume_ma_ratio,1,-0.0016355478440422486,,0.0,0.0016355478440422486
BTCUSDT,1h,volume_ma_ratio,4,0.0068912533468723025,,0.0,0.0068912533468723025
BTCUSDT,1h,volume_ma_ratio,24,0.01746989542548593,,0.0,0.01746989542548593
BTCUSDT,1h,price_momentum,1,-0.014044254680937774,,0.0,0.014044254680937774
BTCUSDT,1h,price_momentum,4,-0.013881893002782544,,0.0,0.013881893002782544
BTCUSDT,1h,price_momentum,24,0.02121351347693659,,0.0,0.02121351347693659
BTCUSDT,1h,volatility,1,-0.003863660042558477,,0.0,0.003863660042558477
BTCUSDT,1h,volatility,4,0.013786169948827158,,0.0,0.013786169948827158
BTCUSDT,1h,volatility,24,-0.03210208665261732,,0.0,0.03210208665261732
BTCUSDT,1h,atr_ratio,1,-0.008529395822009412,,0.0,0.008529395822009412
BTCUSDT,1h,atr_ratio,4,-0.002764933708350767,,0.0,0.002764933708350767
BTCUSDT,1h,atr_ratio,24,-0.11300038625455681,,0.0,0.11300038625455681
BTCUSDT,1h,rsi,1,-0.0007775059618803618,,0.0,0.0007775059618803618
BTCUSDT,1h,rsi,4,-0.002739960779593206,,0.0,0.002739960779593206
BTCUSDT,1h,rsi,24,0.00793286901016866,,0.0,0.00793286901016866
BTCUSDT,1h,kdj_j,1,-0.004451214310187273,,0.0,0.004451214310187273
BTCUSDT,1h,kdj_j,4,-0.0005118823841107488,,0.0,0.0005118823841107488
BTCUSDT,1h,kdj_j,24,-0.008371880716371662,,0.0,0.008371880716371662
BTCUSDT,1h,bollinger_position,1,0.0017075369878523778,,0.0,0.0017075369878523778
BTCUSDT,1h,bollinger_position,4,0.006293753366455602,,0.0,0.006293753366455602
BTCUSDT,1h,bollinger_position,24,0.010243028118570448,,0.0,0.010243028118570448
BTCUSDT,1h,obv_slope,1,-0.019615353447208356,,0.0,0.019615353447208356
BTCUSDT,1h,obv_slope,4,-0.003960505494658938,,0.0,0.003960505494658938
BTCUSDT,1h,obv_slope,24,0.08172058079028864,,0.0,0.08172058079028864
