symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
币安人生USDT,0.4825895326900864,0.13799371540577796,0.534273903237147,0.7297297297297297,3.2820745158836484,37,4825.895326900864
ENJUSDT,0.18698614467698793,0.11522449971323004,0.24307381548852194,0.54,1.4538980237372876,50,1869.8614467698794
SENTUSDT,0.18240826736228297,0.27986295762990054,0.20915288809946142,0.5084745762711864,1.2919895858974442,59,1824.0826736228296
GPSUSDT,0.13944484660497838,0.12961296332954728,0.2197423875406419,0.6111111111111112,1.356632295228822,54,1394.448466049784
HIGHUSDT,0.10866973214425571,0.25683884747979185,0.13365885295230168,0.4838709677419355,1.3557499535405697,62,1086.697321442557
ASTERUSDT,0.09855624106898146,0.043706256919345945,0.3408201819846608,0.6923076923076923,2.456897140600769,39,985.5624106898146
ALLOUSDT,0.07473783977663884,0.18752808673250965,0.11063499909609303,0.6610169491525424,1.1731743759233864,59,747.3783977663884
DEXEUSDT,0.05952363819148261,0.1933521749975633,0.10840657786198679,0.6739130434782609,1.2029236965472148,46,595.2363819148261
PROMUSDT,0.054424279369642906,0.18158700392814828,0.08630422402529984,0.5862068965517241,1.168296216403605,58,544.2427936964291
SPKUSDT,0.044638854504285806,0.11557810957360001,0.06775034388281097,0.6140350877192983,1.1800734839299505,57,446.3885450428581
JSTUSDT,0.04042675477588384,0.12101795627245672,0.0669972580274981,0.7291666666666666,1.150258864825301,48,404.2675477588384
CETUSUSDT,0.029831176718121744,0.156309421059355,0.03184720475686553,0.6,1.1061674003687858,60,298.3117671812174
TAOUSDT,0.02004920039709024,0.1137738994381147,0.014019325082266283,0.46808510638297873,1.075280355656317,47,200.4920039709024
ETHUSDT,0.006295647679761351,0.05059310289639112,-0.04746304783177542,0.5128205128205128,1.0470460932793877,39,62.95647679761351
GUNUSDT,0.003909719789869018,0.32885334624657153,0.0338668035517873,0.5576923076923077,1.0045904603142932,52,39.09719789869018
FETUSDT,0.0024715950473091167,0.10957389420349103,-0.041328380705210506,0.5932203389830508,1.0073314197646337,59,24.71595047309117
LTCUSDT,-0.003781843868540441,0.06902481513773978,-0.1127292574852428,0.6538461538461539,0.9753008729228326,52,-37.81843868540441
XAUTUSDT,-0.008958367503560199,0.028773675106379994,-0.4697829690008283,0.35714285714285715,0.62826422379467,14,-89.58367503560198
CFGUSDT,-0.021419762126130358,0.08947845902511713,-0.12890328274556298,0.68,0.9043433938560461,25,-214.1976212613036
LINKUSDT,-0.024821418061348098,0.08556481942026593,-0.15889356141322597,0.5510204081632653,0.8854901475651403,49,-248.21418061348098
LDOUSDT,-0.027065792273480677,0.11794874941037525,-0.13305226186659658,0.5740740740740741,0.9064076688673046,54,-270.6579227348068
CHZUSDT,-0.03294195697452534,0.10793487072101585,-0.14799924020607763,0.6041666666666666,0.8884450433287682,48,-329.4195697452534
SHIBUSDT,-0.035772479915044696,0.12410509094486194,-0.201910442697611,0.4583333333333333,0.8349480241422013,48,-357.724799150447
USD1USDT,-0.044780115295042965,0.06798236334365247,-3.3608761435263528,0.0,0.0,48,-447.80115295042964
TRXUSDT,-0.046169102906587114,0.08351333522346958,-0.7240552288433127,0.5166666666666667,0.5379459634281971,60,-461.69102906587113
