symbol,pnl,win_rate,trades,sharpe,max_dd,pnl_pct,pnl_bin
BTCUSDT,-415.73205384993724,0.3793103448275862,29,0.10455585944042213,0.59030466497477,-4.1573205384993726,-10~0%
ETHUSDT,-2891.9190060240903,0.30434782608695654,23,-0.5485773136073959,0.373010962947829,-28.9191900602409,-50~-20%
BNBUSDT,-2139.316151888834,0.36,25,-0.3191310754884019,0.35330244383150733,-21.39316151888834,-50~-20%
SOLUSDT,-4311.972723991901,0.36,25,-0.4495626492174421,0.4708708202827808,-43.11972723991901,-50~-20%
ADAUSDT,-978.6347550217223,0.35,20,-0.2624852465213678,0.14909056111177016,-9.786347550217222,-10~0%
XRPUSDT,295.9256939447842,0.34782608695652173,23,0.08847632060390556,0.3631608783991242,2.959256939447842,0~10%
DOTUSDT,-1499.3930036780944,0.2631578947368421,19,-0.2975369089647811,0.2023274038541134,-14.993930036780945,-20~-10%
AVAXUSDT,372.85344210854555,0.5,20,0.09189979402729943,0.14325713223046993,3.728534421085455,0~10%
LINKUSDT,24753.44087603788,0.43333333333333335,30,0.6533003234165052,0.25381987093412817,247.5344087603788,>100%
MATICUSDT,-1789.4104860236803,0.4,20,-0.04810991735312479,0.5312073916328641,-17.894104860236805,-20~-10%
UNIUSDT,1331.0330262808598,0.5263157894736842,19,0.16347119561480425,0.4083097388029853,13.310330262808598,10~20%
ATOMUSDT,-944.2145900527694,0.4583333333333333,24,0.025573423481108408,0.2970156083918812,-9.442145900527695,-10~0%
LTCUSDT,-1934.149761936873,0.3548387096774194,31,-0.19250894094338622,0.35045952981757933,-19.341497619368727,-20~-10%
ETCUSDT,1295.4234757886793,0.375,24,0.16171919172669466,0.5743083358726547,12.954234757886793,10~20%
FILUSDT,-2549.5544818239837,0.36363636363636365,33,-0.1507400535530935,0.4068268997209996,-25.495544818239836,-50~-20%
AAVEUSDT,-2130.5011121273847,0.34782608695652173,23,-0.2749154951484899,0.3359028244798154,-21.305011121273846,-50~-20%
NEARUSDT,36.493124196960935,0.35294117647058826,17,0.024478984346320422,0.21073241366264114,0.36493124196960935,0~10%
ALGOUSDT,-2407.6461266983683,0.3333333333333333,24,-0.24163246662688653,0.38388802311975206,-24.076461266983685,-50~-20%
FTMUSDT,-1699.8295774900998,0.2692307692307692,26,-0.4614149667966732,0.3317921721072979,-16.998295774901,-20~-10%
AXSUSDT,-6332.204369962296,0.3103448275862069,29,-0.5780850213179086,0.6509429451607989,-63.32204369962297,<-50%
SANDUSDT,-4170.725115856042,0.3333333333333333,24,-0.28380920359181383,0.5456067866386272,-41.707251158560425,-50~-20%
MANAUSDT,-2698.0800212381737,0.3548387096774194,31,-0.18975456808498484,0.442720479029072,-26.980800212381737,-50~-20%
GRTUSDT,-485.6936635322682,0.4,30,-0.030921899790245587,0.238514777494189,-4.856936635322682,-10~0%
RUNEUSDT,-2025.3587384399866,0.391304347826087,23,-0.23187157442785983,0.34631938620208874,-20.253587384399864,-50~-20%
