symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
币安人生USDT,0.3659750623630075,0.213366909042666,0.37104831456410114,0.45098039215686275,1.522935022174981,51,3659.7506236300746
HIGHUSDT,0.21337435368445862,0.23987739021624435,0.20547447810891015,0.42168674698795183,1.5525497045370418,83,2133.7435368445863
CETUSUSDT,0.15714868854547476,0.09332617633530468,0.22835034706411939,0.5121951219512195,1.3559750463684144,82,1571.4868854547476
ZAMAUSDT,0.14883246805800712,0.17637290427074132,0.22549361409917443,0.484375,1.3014566822805729,64,1488.3246805800713
FETUSDT,0.09642164405670846,0.0703112287077058,0.14815538103394724,0.4358974358974359,1.219951061008537,78,964.2164405670846
ARBUSDT,0.08862750279631328,0.13057774650922443,0.1683219987100411,0.5074626865671642,1.2846913668464468,67,886.2750279631327
SENTUSDT,0.08793918816928357,0.26877263401002605,0.09443149468714032,0.41379310344827586,1.1340630634312157,87,879.3918816928358
ENJUSDT,0.08324939796499219,0.1729918816696606,0.09842409331329266,0.3684210526315789,1.1885449091484106,76,832.4939796499218
PENGUUSDT,0.07525847604772531,0.13557509584721295,0.10048558677885416,0.42857142857142855,1.154620445901636,77,752.5847604772532
JSTUSDT,0.06140895633984751,0.14112579888651325,0.0627943914121415,0.48863636363636365,1.123787197277783,88,614.0895633984751
CFGUSDT,0.047566040184784456,0.1576768858784692,0.15673154564041789,0.42857142857142855,1.1679744955545854,35,475.6604018478446
PEPEUSDT,0.03976281351210866,0.08598249635218107,0.04182203910761181,0.4153846153846154,1.1225414504023068,65,397.62813512108664
FILUSDT,0.024625795682064428,0.11503325805829766,0.007739386267419207,0.4426229508196721,1.0824515258556706,61,246.2579568206443
PLUMEUSDT,0.022933591339774777,0.12113501716297595,-0.002643573596326389,0.4146341463414634,1.0416893169514254,82,229.33591339774776
DEXEUSDT,0.020472472412602735,0.21335516584157677,0.02324211672424723,0.421875,1.0437010783591207,64,204.72472412602735
HBARUSDT,0.018706406896734005,0.09138281062375488,-0.04263936248051912,0.40476190476190477,1.0523629584527916,84,187.06406896734006
CHZUSDT,0.014122242304950945,0.1532982223037551,-0.04015817389490694,0.5,1.0376673827157261,72,141.22242304950944
SPKUSDT,0.012660513929136148,0.16535264398847627,-0.025141006322608146,0.4675324675324675,1.0320654877481064,77,126.60513929136148
XAUTUSDT,0.0007654170268454436,0.026086957053532325,-0.24138793955626794,0.3684210526315789,1.0270450543502547,19,7.654170268454436
POLUSDT,-0.001606853806055399,0.14065442105076884,-0.069128210715195,0.4533333333333333,0.9952897379983668,75,-16.06853806055399
TAOUSDT,-0.002913065712682728,0.11445624559491412,-0.039615374840126484,0.47692307692307695,0.9930008598937042,65,-29.13065712682728
ALLOUSDT,-0.010211159485250648,0.17182201193678323,-0.04590954510598051,0.44,0.9829679741300333,75,-102.11159485250647
PROMUSDT,-0.01096279365369318,0.1628428969413599,-0.05765096466907043,0.5066666666666667,0.9726238625184908,75,-109.6279365369318
XRPUSDT,-0.012627087186379862,0.1021737635025367,-0.1168628318813142,0.43478260869565216,0.9638500252955733,69,-126.27087186379862
TRUUSDT,-0.013701835106396141,0.26678921384795534,0.011346702128821044,0.3142857142857143,0.9847980033333539,105,-137.0183510639614
XLMUSDT,-0.02245627567899086,0.1442017516184947,-0.16946972041957697,0.4444444444444444,0.9389821330656213,81,-224.5627567899086
UNIUSDT,-0.02458361087505316,0.12873420646733646,-0.09358654758540412,0.36764705882352944,0.9357965142804168,68,-245.83610875053162
