symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
TRUUSDT,0.5498445904739563,0.2860562612278574,0.3570869943985877,0.2976190476190476,1.7525760645138193,84,5498.445904739563
GIGGLEUSDT,0.469129479735523,0.14377266840553563,0.3674055887718596,0.44285714285714284,2.0276924503389555,70,4691.29479735523
ORDIUSDT,0.4171127514815216,0.1177267151127192,0.5033219435141351,0.4583333333333333,2.084872890319475,72,4171.127514815216
XPLUSDT,0.3533507707913486,0.18210156729943408,0.31713890343071965,0.5076923076923077,1.640261462224077,65,3533.507707913486
币安人生USDT,0.29966505807910904,0.28513997808199215,0.22637725517067522,0.4074074074074074,1.2532239795766198,81,2996.6505807910903
DENTUSDT,0.2892478808631363,0.21832688473630624,0.24432866099247103,0.4383561643835616,1.5425044763551112,73,2892.478808631363
EULUSDT,0.2864013437224455,0.2821826119057397,0.18985265622116948,0.41333333333333333,1.3556907975125856,75,2864.013437224455
UTKUSDT,0.27668482424888147,0.4158950784688484,0.1758556901996762,0.373134328358209,1.8363009786112432,67,2766.848242488815
COMPUSDT,0.259862364218865,0.14493739287526566,0.32366945883702525,0.375,1.7930495899420786,72,2598.6236421886497
SUIUSDT,0.23837805565492298,0.07424118379364715,0.3727297581128716,0.4177215189873418,1.6572265598628002,79,2383.78055654923
ADAUSDT,0.23691957452502252,0.09836096113605537,0.4269705635498557,0.41025641025641024,1.688135743340739,78,2369.195745250225
EDUUSDT,0.23074332229864294,0.17827574593641043,0.22567706715563327,0.4342105263157895,1.541395509565829,76,2307.4332229864294
WLFIUSDT,0.22614846747674192,0.1351127336006453,0.276771892821895,0.36363636363636365,1.4725345048852871,77,2261.484674767419
PENGUUSDT,0.19941555474203307,0.12362464478039951,0.15234880064451276,0.44594594594594594,1.46343505724255,74,1994.1555474203305
TRUMPUSDT,0.19864147332150126,0.11877149335643664,0.2361529608541046,0.3950617283950617,1.5160763980753278,81,1986.4147332150126
0GUSDT,0.19440357093860194,0.24007723450305943,0.16855671497092142,0.35365853658536583,1.3325569543601374,82,1944.0357093860196
