symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
ASTERUSDT,0.17209214984041402,0.1533274516643199,0.27902355933687784,0.7241379310344828,1.628594928919782,87,1720.9214984041403
SENTUSDT,0.1637054747435275,0.24949769425798315,0.17584354694428253,0.6666666666666666,1.2251271581934629,75,1637.054747435275
GPSUSDT,0.15118406055320882,0.263815175244351,0.16082892146886957,0.7432432432432432,1.2659965337206378,74,1511.8406055320881
ZROUSDT,0.08328821499377871,0.14525188289127092,0.1002504727767956,0.6962025316455697,1.1408460694528466,79,832.8821499377871
POLUSDT,0.07845227530349416,0.11693533135558137,0.10502576245817313,0.6153846153846154,1.2618265805671265,78,784.5227530349416
JSTUSDT,0.06172667596163708,0.1470472634134162,0.07507473032511634,0.7435897435897436,1.1690714120053862,78,617.2667596163708
SPKUSDT,0.056985944650082616,0.18611834039494846,0.04943874326582595,0.6172839506172839,1.144754170174843,81,569.8594465008262
ALLOUSDT,0.04442180500793637,0.20923883952625683,0.05458368112016202,0.6666666666666666,1.0713001685512604,78,444.2180500793637
CETUSUSDT,0.013097277497488255,0.19763591732575972,0.019028867855173874,0.5507246376811594,1.0287302269734455,69,130.97277497488255
HBARUSDT,0.002132543232802164,0.09729952274607817,-0.06049871747247729,0.6086956521739131,1.0076193127774578,69,21.32543232802164
SAGAUSDT,-0.0029951308528767045,0.17583093180457332,-0.016223278897748966,0.6,0.9936513394080986,70,-29.951308528767044
WLDUSDT,-0.004530761057913224,0.26857609536101595,-0.029013417246102256,0.618421052631579,0.9934224039445702,76,-45.30761057913224
VIRTUALUSDT,-0.009978836042548185,0.19475983869678076,-0.04100049160482267,0.5974025974025974,0.9817173842526069,77,-99.78836042548186
XAUTUSDT,-0.02567319262090922,0.04235755098270224,-0.7508645202450924,0.2857142857142857,0.36063223929622507,21,-256.7319262090922
ONDOUSDT,-0.027045135429965138,0.14722719949576152,-0.10049069658897578,0.5857142857142857,0.938662037790495,70,-270.45135429965137
UMAUSDT,-0.0332973965083682,0.1389400568231386,-0.0775633072180111,0.6410256410256411,0.9262541433390232,78,-332.973965083682
LTCUSDT,-0.040966072359365335,0.13311340825586396,-0.22793245586789293,0.6493506493506493,0.8707018190218574,77,-409.66072359365336
PEPEUSDT,-0.05135877838406161,0.24007452877059274,-0.13867920167634845,0.676056338028169,0.8979929687984091,71,-513.5877838406161
WIFUSDT,-0.05857640055161287,0.16406593973001773,-0.1404072293802442,0.684931506849315,0.8818840467617002,73,-585.7640055161287
USD1USDT,-0.06186400927817384,0.09404887326099123,-3.9029168185505574,0.0,0.0,69,-618.6400927817384
PROMUSDT,-0.06198163206780083,0.283661084385287,-0.028132130390844307,0.6052631578947368,0.8972788673604936,76,-619.8163206780083
XUSDUSDT,-0.06575386800649707,0.10113609725370479,-4.1414137879396975,0.0,0.0,76,-657.5386800649708
USDCUSDT,-0.06662308671345456,0.1001274887540676,-4.161023164737042,0.0,0.0,72,-666.2308671345456
USDEUSDT,-0.0684963203044178,0.10459687715998661,-4.174248001720011,0.0,0.0,75,-684.9632030441779
UUSDT,-0.06906979899103907,0.10441626328878774,-4.289112521674986,0.0,0.0,76,-690.6979899103907
RLUSDUSDT,-0.07171958942318084,0.11044640675367463,-4.38460431050803,0.0,0.0,82,-717.1958942318084
FDUSDUSDT,-0.07218075267412086,0.11075180623845408,-4.245768561777198,0.0,0.0,83,-721.8075267412086
FETUSDT,-0.07502035728009847,0.2762087964451113,-0.16161663130899126,0.6351351351351351,0.8461965438936407,74,-750.2035728009847
TRXUSDT,-0.07853547482608886,0.11539738024230319,-0.9073635455332123,0.5194805194805194,0.4643134633999233,77,-785.3547482608885
BONKUSDT,-0.09371673949358517,0.18416000767230517,-0.2441832554849868,0.589041095890411,0.7957271079539072,73,-937.1673949358517
BNBUSDT,-0.094927969770516,0.14694650200206127,-0.4806197752336225,0.6375,0.7126070516977857,80,-949.27969770516
TONUSDT,-0.09641827989693975,0.16809301001357088,-0.36184370033564256,0.6857142857142857,0.7224896105846474,70,-964.1827989693975
EURUSDT,-0.09684101119354543,0.13473672002135573,-2.761849624510051,0.1125,0.02191164377659646,80,-968.4101119354543
0GUSDT,-0.10605295797558956,0.34273841540332917,-0.10690770906362988,0.68,0.8098601830189623,75,-1060.5295797558956
CFGUSDT,-0.11711065694243204,0.2512673688527543,-0.3197235936389449,0.5,0.6352734661891399,28,-1171.1065694243205
ADAUSDT,-0.12246024168632993,0.18281839260788854,-0.3317228167423502,0.625,0.6867153348012197,72,-1224.6024168632994
UNIUSDT,-0.12436042842298475,0.20800017523283434,-0.26572060577013384,0.5857142857142857,0.7268542714240825,70,-1243.6042842298475
APTUSDT,-0.12677334961975595,0.24801420640977234,-0.31158400959855775,0.6410256410256411,0.7706868726216812,78,-1267.7334961975594
SHIBUSDT,-0.1288075131727915,0.20380242446525518,-0.4047595788755587,0.5211267605633803,0.6484781324669671,71,-1288.0751317279148
ARUSDT,-0.1301970450156448,0.23275587553450663,-0.26006385483144895,0.5774647887323944,0.7744743254845811,71,-1301.970450156448
PAXGUSDT,-0.13522931914813838,0.1642636758894256,-0.7378579709047636,0.375,0.30744600358094637,64,-1352.2931914813837
CHZUSDT,-0.138014543200686,0.2517022106713356,-0.34718008654314314,0.5921052631578947,0.7614229711486029,76,-1380.1454320068601
XLMUSDT,-0.14358149991433555,0.2111129899850771,-0.4653618492492695,0.5652173913043478,0.6223465207585024,69,-1435.8149991433554
UTKUSDT,-0.15435213834124492,0.9286776540080778,0.33925272296392767,0.5942028985507246,0.7094438914192533,69,-1543.5213834124493
RUNEUSDT,-0.1601724792585594,0.2020790232849322,-0.6031322582277826,0.5974025974025974,0.5882210569884067,77,-1601.724792585594
STRKUSDT,-0.16746345223222892,0.2219713725525291,-0.45309833405549144,0.6027397260273972,0.6262807464555799,73,-1674.6345223222893
SUIUSDT,-0.17261072551827583,0.26113718053835067,-0.45705421578261224,0.5454545454545454,0.5864078393584167,66,-1726.1072551827583
PLUMEUSDT,-0.17345211272613914,0.2943699683114669,-0.3016682061626359,0.6029411764705882,0.6821901483988527,68,-1734.5211272613915
ZENUSDT,-0.17364631550487167,0.2887657203515203,-0.38415280141564145,0.6301369863013698,0.6819715548815335,73,-1736.4631550487168
GUNUSDT,-0.17747906613142508,0.4786532105644779,-0.15456092518473413,0.625,0.7772646970485554,64,-1774.7906613142509
IDUSDT,-0.1780857941624744,0.2724481929553012,-0.390997171030069,0.5616438356164384,0.6202629882504707,73,-1780.857941624744
LINKUSDT,-0.1791702640498309,0.22645114379953746,-0.5787573978529534,0.5362318840579711,0.552757505783858,69,-1791.7026404983092
XRPUSDT,-0.18308257678144182,0.234313473993244,-0.5475491935152333,0.5352112676056338,0.497696006458969,71,-1830.8257678144182
GIGGLEUSDT,-0.18393200961459666,0.3568264218058976,-0.19521165710139673,0.631578947368421,0.7451398700631782,76,-1839.3200961459665
NEWTUSDT,-0.1850497368547307,0.25676338090307904,-0.3178158204882567,0.4626865671641791,0.6165490059930295,67,-1850.497368547307
DOTUSDT,-0.1872480469563652,0.2528279896830219,-0.5045704329906346,0.6216216216216216,0.6297868550156215,74,-1872.4804695636522
币安人生USDT,-0.18761993643520827,0.5932480576446285,-0.00974998115862699,0.6883116883116883,0.8597318529658011,77,-1876.1993643520827
WLFIUSDT,-0.18818165427541977,0.2535773299101588,-0.4212458275801522,0.5555555555555556,0.5830765656157034,63,-1881.8165427541978
PENGUUSDT,-0.19082234033489845,0.25167225840162866,-0.38798476993780484,0.5588235294117647,0.6538816834024735,68,-1908.2234033489844
BCHUSDT,-0.19082822507092612,0.23203533833270965,-0.6836027863015344,0.6060606060606061,0.520599214236781,66,-1908.2822507092612
AVAXUSDT,-0.19284423033802414,0.2682411833925812,-0.5707834874596822,0.547945205479452,0.5522794715505273,73,-1928.4423033802414
PORTALUSDT,-0.19849938550576077,0.461245266110898,-0.09139235300592051,0.5945945945945946,0.5943441059760882,74,-1984.9938550576076
WBTCUSDT,-0.19915436092125982,0.24202660676407847,-0.7999911528979881,0.5507246376811594,0.43323437794752817,69,-1991.543609212598
ZAMAUSDT,-0.19942953439255603,0.3601536187690217,-0.24226261506009789,0.5483870967741935,0.6161207881018291,62,-1994.2953439255605
DASHUSDT,-0.20051534782168043,0.32303442641435565,-0.3643861671649621,0.5774647887323944,0.6866558520297895,71,-2005.1534782168044
SEIUSDT,-0.20153900027018343,0.27600338757288845,-0.6261526907957397,0.547945205479452,0.5645408873818222,73,-2015.3900027018342
DOGEUSDT,-0.20440166161777315,0.24459552082643635,-0.5358073630856391,0.5441176470588235,0.5251684423877719,68,-2044.0166161777315
BTCUSDT,-0.20644242257905934,0.2486087398394115,-0.8242246140819943,0.5223880597014925,0.4120600316475653,67,-2064.4242257905935
AXLUSDT,-0.21378764664679212,0.422720716471521,-0.1706986541696645,0.620253164556962,0.6595973242551543,79,-2137.876466467921
DYDXUSDT,-0.21643237182600086,0.35965084038886924,-0.3919172297401698,0.64,0.6647345601133592,75,-2164.3237182600087
NEARUSDT,-0.21880000632597207,0.30017139634662243,-0.5470198627101727,0.5633802816901409,0.5766658396011726,71,-2188.0000632597207
AAVEUSDT,-0.22284980167681862,0.29667485977413455,-0.5519301518125065,0.5507246376811594,0.5885205413222107,69,-2228.498016768186
FILUSDT,-0.23135853193300537,0.2847265777402903,-0.5824628723008547,0.5,0.5246105587581302,66,-2313.5853193300536
ARBUSDT,-0.23916739363937917,0.30349668184493167,-0.604464887767035,0.5757575757575758,0.5305846215342394,66,-2391.673936393792
