symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
ALLOUSDT,0.06153201172788523,0.1778750955305018,0.04539390376352929,0.675,1.090347029169162,120,615.3201172788523
ASTERUSDT,0.05858429356522189,0.12359419031982911,0.03853972067302079,0.6571428571428571,1.2033729827026463,105,585.8429356522189
SENTUSDT,0.04947958280160886,0.21648270319100055,0.03722361361784566,0.6476190476190476,1.0783056687617754,105,494.79582801608854
KITEUSDT,0.02006180832439349,0.26234030816245857,0.007125190177666879,0.6209677419354839,1.0207909959591415,124,200.6180832439349
NEWTUSDT,0.01769217114786678,0.15347995701580702,-0.029582156274347127,0.6166666666666667,1.0362204835192566,120,176.92171147866782
XAUTUSDT,-0.027797519079249253,0.04678563944065493,-1.011354832988344,0.3333333333333333,0.384584631949611,30,-277.9751907924925
CETUSUSDT,-0.027970870900871476,0.2138251319842946,-0.07214155287371726,0.5811965811965812,0.9445224199549687,117,-279.7087090087148
GPSUSDT,-0.032813525458034024,0.18363800694026994,-0.024795065957802707,0.6826923076923077,0.9474676375333411,104,-328.13525458034024
CFGUSDT,-0.036800615562258034,0.1711737294270977,-0.12964497387861695,0.64,0.8818835891753519,50,-368.00615562258037
ENJUSDT,-0.03964214469413577,0.3604383601533875,0.031011150443419212,0.6607142857142857,0.9457663255739319,112,-396.42144694135766
SAGAUSDT,-0.04227116094832471,0.143158055314985,-0.13393724737452928,0.6610169491525424,0.9218733711578482,118,-422.7116094832471
UUSDT,-0.04676951353995399,0.07137797190326564,-3.4673478232501056,0.0,0.0,51,-467.6951353995399
USDCUSDT,-0.05363705139226053,0.08029959974216126,-3.6897968431793164,0.0,0.0,57,-536.3705139226053
UMAUSDT,-0.060823500469676904,0.20995335191500636,-0.23954012733403546,0.65,0.8411005861229918,120,-608.235004696769
USD1USDT,-0.06265153163613099,0.0955000296519036,-4.03390138914872,0.0,0.0,69,-626.5153163613099
XUSDUSDT,-0.06368735318970152,0.09839153606179207,-4.168859690246621,0.0,0.0,73,-636.8735318970151
PROMUSDT,-0.06413725723278618,0.24305450037618218,-0.05910249368034529,0.6666666666666666,0.8710324303081614,105,-641.3725723278618
SPKUSDT,-0.0671085786872336,0.19481989686097634,-0.21366246114216422,0.6057692307692307,0.8260412216281551,104,-671.085786872336
USDEUSDT,-0.0718037661950398,0.10915395700421686,-4.378680428626323,0.0,0.0,79,-718.0376619503979
FDUSDUSDT,-0.07211470359460069,0.10990897952288396,-4.364723485846388,0.0,0.0,80,-721.1470359460069
RLUSDUSDT,-0.07474790708925666,0.11386902744627386,-4.501005080655643,0.0,0.0,83,-747.4790708925666
HBARUSDT,-0.07921427616109444,0.17137580616911327,-0.35283598355753537,0.6,0.7704600751022552,120,-792.1427616109445
LTCUSDT,-0.08134955755052523,0.151288705080318,-0.4514165169861844,0.6126126126126126,0.7336706940253293,111,-813.4955755052522
VIRTUALUSDT,-0.08624373231502183,0.19384918536652299,-0.2566058327873178,0.5982142857142857,0.8145818002815183,112,-862.4373231502183
PLUMEUSDT,-0.11180649982763394,0.20410552114433392,-0.254708409823802,0.5943396226415094,0.8036271525642954,106,-1118.0649982763393
WLFIUSDT,-0.11617126352994218,0.22396234217818917,-0.34387790081556185,0.6696428571428571,0.7656172921578829,112,-1161.712635299422
